,Job Title,Position,qualifications,qualification types,skills,Company,Locations,Contract Type,Job Type,Date
370,,senior,,Bachelor's Degree,,Network Recruitment - Pretoria Finance A,Johannesburg,Permanent,Full Time,2022-07-09
371,Test Analyst,Mid,,Bachelor's Degree,,Intellinexus,Durban,"Permanent, Fixed Term, Temporary","Full Time, Part time",2022-07-08
372,Test Analyst,Mid,,Bachelor's Degree,,Intellinexus,Durban,"Permanent, Fixed Term, Temporary","Full Time, Part time",2022-07-08
373,,Mid,,Bachelor's Degree,,Armstrong Appointments,Johannesburg,Permanent,Full Time,2022-07-05
374,,Mid,information technology,Bachelor's Degree,,Accredited Resource Consulting Services,Durban,Fixed Term,Full Time,2022-07-12
375,Data Engineer,Mid,,Bachelor's Degree,,Mindworx Consulting,Durban,Permanent,Full Time,2022-07-12
376,Operations Analyst,Mid,,Bachelor's Degree,,Snatch.Work,Cape Town,Fixed Term,Full Time,2022-07-05
377,,Mid,,Bachelor's Degree,,Talksure Pty Ltd,Durban,Permanent,Full Time,2022-07-07
378,,Mid,,Bachelor's Degree,sql,Intuate Group (Pty) Ltd,Johannesburg,Permanent,Full Time,2022-07-10
379,,Mid,,Bachelor's Degree,,New Generations Management,Johannesburg,Fixed Term,Full Time,2022-07-11
380,,Mid,,Bachelor's Degree,,Network Contracting Solutions,Johannesburg,Fixed Term,Full Time,2022-07-10
381,,Mid,,Bachelor's Degree,sql,Datafin IT Recruitment,Cape Town,Permanent,Full Time,2022-07-11
382,,Mid,,Bachelor's Degree,,Kelly Sinclair Recruitment Partners,Durban,Permanent,Full Time,2022-07-06
383,Business Analyst,junior,,Bachelor's Degree,,Quest Staffing Solutions,Durban,Fixed Term,Full Time,2022-07-06
384,,Mid,information system,Bachelor's Degree,"sql, java",Indsafri Services SA (Pty) Ltd,Johannesburg,Fixed Term,Full Time,2022-07-05
385,,Mid,,Post Graduate,,Sharon Nurock Recruitment c.c.,Durban,Permanent,Full Time,2022-07-05
386,,manager,,Bachelor's Degree,,Asie Personnel,Johannesburg,Permanent,Full Time,2022-07-11
387,Data Engineer,Mid,engineering,Post Graduate,,iSanqa,Johannesburg,Fixed Term,Full Time,2022-07-11
388,,Mid,,Bachelor's Degree,excel,MASA Outsourcing (Pty) Ltd,Other,Fixed Term,Full Time,2022-07-06
389,,Mid, bcom,Post Graduate,,Network Recruitment - Finance Corporate,Johannesburg,Permanent,Full Time,2022-07-05
390,,Mid,,Bachelor's Degree,,Network Recruitment - Finance Corporate,Johannesburg,Permanent,Full Time,2022-07-05
391,Test Analyst,Mid,,Bachelor's Degree,,iSanqa,Johannesburg,Fixed Term,Full Time,2022-07-09
392,,senior,,Bachelor's Degree,,Tracking Talent,Johannesburg,Permanent,Full Time,2022-07-05
393,,Mid,,Bachelor's Degree,,iLaunch (Pty) Ltd,Cape Town,Fixed Term,Full Time,2022-07-05
394,Business Analyst,senior,,Post Graduate,,APMC,Johannesburg,"Fixed Term, Temporary",Full Time,2022-07-05
398,,Mid,,Post Graduate,,Syncwize Knowledge:Worx (Pty) Ltd,Johannesburg,Fixed Term,"Full Time, Work from Home",2022-07-05
399,,senior,,Post Graduate,sql,Tych Business Solutions,Johannesburg,Fixed Term,Part time,2022-07-10
400,Data Engineer,senior,"computer science, information system",Bachelor's Degree,sql,E-Merge IT Recruitment,Johannesburg,Permanent,Full Time,2022-07-10
401,,Mid,,Bachelor's Degree,,GULF DRUG COMPANY,Other,Permanent,Full Time,2022-07-05
402,,Mid,,Bachelor's Degree,,Jordan Human Resource,Johannesburg,Fixed Term,Full Time,2022-07-05
403,Business Analyst,junior,,Bachelor's Degree,excel,Secondments,Durban,"[All], Fixed Term",Full Time,2022-07-05
404,Business Analyst,senior,,Bachelor's Degree,"sql, excel",Datafin IT Recruitment,Cape Town,Permanent,Full Time,2022-07-05
405,Test Analyst,Mid,,Bachelor's Degree,,Transaction Capital Recoveries,Johannesburg,Permanent,Full Time,2022-07-05
406,Business Analyst,Mid,,Bachelor's Degree,,Recru-IT,Johannesburg,Fixed Term,Full Time,2022-07-05
409,,Mid,,Bachelor's Degree,,IPS Health & Wellness,Johannesburg,Permanent,Full Time,2022-07-05
410,Data Engineer,Mid,engineering,Bachelor's Degree,,iSanqa,Johannesburg,Fixed Term,Full Time,2022-07-10
411,,Mid,,Bachelor's Degree,sql,First 4 Careers,Johannesburg,Permanent,Full Time,2022-07-05
