,Job Title,Position,qualifications,qualification types,skills,Company,Locations,Contract Type,Job Type,Date
168,Business Analyst,Mid,,Bachelor's Degree,sql,Recru-IT,Cape Town,Fixed Term,Full Time,2022-07-05
169,,manager,,Bachelor's Degree,"sql,  sas",Syncwize Knowledge:Worx (Pty) Ltd,Johannesburg,Fixed Term,"Full Time, Work from Home",2022-07-09
170,Business Analyst,Mid,information technology,Bachelor's Degree,"power bi, excel, tableau",AGA Recruitment Specialists,Cape Town,Permanent,Full Time,2022-07-05
171,Business Analyst,Mid, bcom,Bachelor's Degree,,Ntice Sourcing Solutions,Johannesburg,"[All], Permanent",Full Time,2022-07-05
172,,senior,statistics,Bachelor's Degree,python,Redherd Pty Ltd,Cape Town,Permanent,Full Time,2022-07-05
175,Business Analyst,Mid,,Bachelor's Degree,"sql, java, excel",Pro Development Group,Johannesburg,Freelance,Full Time,2022-07-05
176,,senior,"mathematics, statistics",Post Graduate,"sql, python,  sas",Datafin IT Recruitment,Other,Permanent,Full Time,2022-07-05
177,Business Analyst,Mid,"computer science, statistics, engineering",Bachelor's Degree,excel,Salix Recruitment,Johannesburg,Permanent,Full Time,2022-07-05
178,,Mid,,Post Graduate,sql,IT Ridge Technologies Pty Ltd,Johannesburg,Temporary,Full Time,2022-07-05
179,Business Analyst,Mid,information technology,Bachelor's Degree,,MPRTC Recruitment,Johannesburg,Permanent,Full Time,2022-07-06
180,Business Analyst,Mid,,Bachelor's Degree,excel,Recru-IT,Durban,Permanent,Full Time,2022-07-05
181,Test Analyst,Mid,"computer science, information technology",Bachelor's Degree,excel,Be Different Recruitment,Johannesburg,Fixed Term,Full Time,2022-07-05
182,,manager,,Bachelor's Degree,"sql,  sas",DVT,Johannesburg,Freelance,Full Time,2022-07-06
184,,Mid,,Bachelor's Degree,,MPC Recruitment -Umhlanga,Johannesburg,Permanent,Full Time,2022-06-28
185,Business Analyst,Mid,"mathematics, statistics, engineering, information system",Post Graduate,sql,AGA Recruitment Specialists,Cape Town,Permanent,Full Time,2022-07-05
186,Business Analyst,Mid,,Bachelor's Degree,sql,Tych Business Solutions,Cape Town,Permanent,Full Time,2022-06-28
187,,manager,,Bachelor's Degree,,Blue Recruiting,Johannesburg,Permanent,Full Time,2022-06-28
188,Business Analyst,Mid,statistics,Bachelor's Degree,,Tych Business Solutions,Cape Town,Permanent,Full Time,2022-06-28
189,Business Analyst,Mid,,Bachelor's Degree,,Sabenza IT Recruitment,Johannesburg,Temporary,Full Time,2022-06-28
190,Business Analyst,senior,statistics,Bachelor's Degree,,Tych Business Solutions,Cape Town,Permanent,Full Time,2022-06-28
191,Business Analyst,Mid,,Bachelor's Degree,sql,Tych Business Solutions,Cape Town,Permanent,Full Time,2022-06-28
192,,senior,"mathematics, statistics, engineering",Bachelor's Degree,,EnableSA T/A EnableSA Pty Ltd,Pretoria,Permanent,Full Time,2022-06-28
193,,senior,,Post Graduate,"sql, python,  r ",Network Recruitment - Finance Corporate,Johannesburg,Permanent,Full Time,2022-06-28
195,,Mid,engineering,Bachelor's Degree,,Network Finance,Johannesburg,Permanent,Full Time,2022-06-28
196,,senior,,Bachelor's Degree,"sql, java",Eqplus Technologies (Pty) Ltd,Pretoria,"[All], Fixed Term",Full Time,2022-06-28
197,,senior,,Bachelor's Degree,,Recru-IT,Other,Permanent,Full Time,2022-07-05
198,Business Analyst,Mid,,Bachelor's Degree,sql,E-Merge IT Recruitment,Johannesburg,Fixed Term,Full Time,2022-07-05
199,Business Analyst,Mid,,Bachelor's Degree,sql,iLaunch (Pty) Ltd,Cape Town,Fixed Term,Full Time,2022-07-05
200,,Mid,information system,Bachelor's Degree,,Peppa Placements,Johannesburg,Permanent,Full Time,2022-07-05
201,,Mid,,Post Graduate,excel,Communicate Central Finance,Johannesburg,Permanent,Full Time,2022-07-05
202,,Mid,information technology,Bachelor's Degree,excel,Mindworx Consulting,Johannesburg,Permanent,Full Time,2022-07-05
203,Business Analyst,Mid,"engineering, information technology",Bachelor's Degree,,Gijima Holdings,Cape Town,Permanent,Full Time,2022-06-28
204,Business Analyst,Mid,,Bachelor's Degree,java,Recru-IT,Johannesburg,Fixed Term,Full Time,2022-07-05
205,,Mid,,Bachelor's Degree,"sql, java",Gijima Holdings,Cape Town,Permanent,Full Time,2022-06-28
206,,senior,,Bachelor's Degree,,Recru-IT,Other,Permanent,Full Time,2022-07-05
207,,Mid,,Post Graduate,,Salix Recruitment,Johannesburg,Permanent,Full Time,2022-07-05
208,Data Engineer,junior,,Bachelor's Degree,sql,Top Recruitment,Cape Town,Permanent,Full Time,2022-06-28
209,Business Analyst,Mid,,Bachelor's Degree,"sql, excel",Falcorp Resourcing,Johannesburg,Fixed Term,Full Time,2022-06-28
210,,senior,,Bachelor's Degree,,EnableSA T/A EnableSA Pty Ltd,Other,Permanent,Full Time,2022-06-28
211,,manager,,Bachelor's Degree,,MPC Recruitment -Umhlanga,Other,Permanent,Full Time,2022-07-05
212,,Mid,computer science,Post Graduate,excel,Denton Harvey,Johannesburg,Permanent,Full Time,2022-07-05
213,,Mid,,Bachelor's Degree,,Parity Software,Johannesburg,Permanent,Full Time,2022-07-11
214,,Mid,,Bachelor's Degree,,JD Group,Johannesburg,Permanent,Full Time,2022-07-11
215,Business Analyst,senior,"computer science, statistics, engineering, information technology",Post Graduate,"sql, power bi",E-Merge IT Recruitment,Johannesburg,Permanent,Full Time,2022-07-05
216,Business Analyst,Mid,information technology,Bachelor's Degree,,Network Finance,Pretoria,Permanent,Full Time,2022-07-09
218,Test Analyst,Mid,,Bachelor's Degree,"sql, python, java",Hi-Tech Recruitment - Cape Town,Cape Town,Permanent,Full Time,2022-07-09
219,Data Engineer,Mid,,Bachelor's Degree,excel,Pro Development Group,Johannesburg,Permanent,Full Time,2022-07-05
221,Data Engineer,Mid,computer science,Post Graduate,excel,Augment & Recruit,Johannesburg,Permanent,Full Time,2022-07-05
230,Marketing Analyst,Mid,,Bachelor's Degree,,Music Business Worldwide Ltd,Remote,"Permanent, Temp with possibility of going permanent","Full Time, Work from Home",2022-07-11
231,Data Engineer,senior,,Bachelor's Degree,,Innovative Recruitment,Johannesburg,Permanent,Full Time,2022-07-07
232,,senior,,Bachelor's Degree,"sql, java",E-Merge IT Recruitment,Remote,Permanent,Work from Home,2022-07-07
233,Business Analyst,manager,information system,Bachelor's Degree,,Peppa Placements,Johannesburg,Permanent,Full Time,2022-07-05
234,,Mid,,Post Graduate,,Communicate IT,Johannesburg,Permanent,Full Time,2022-07-06
235,,Mid,,Bachelor's Degree,,Gijima Holdings,Johannesburg,"[All], Freelance",Full Time,2022-07-09
237,Business Analyst,manager,,Post Graduate,,eSmart Recruitment CC,Johannesburg,Permanent,Full Time,2022-07-07
238,,Mid,,Bachelor's Degree,excel,B&M Analysts,Other,Permanent,Full Time,2022-07-05
239,Actuarial Analyst,Mid,,Bachelor's Degree,,Network Recruitment - Pretoria Finance A,Johannesburg,Permanent,Full Time,2022-07-05
242,Actuarial Analyst,"junior, manager",,Bachelor's Degree,,Network Recruitment - Pretoria Finance A,Johannesburg,Permanent,Full Time,2022-07-05
243,,Mid,,Bachelor's Degree,excel,Elite Search & Selection,Johannesburg,Permanent,Full Time,2022-07-05
244,Test Analyst,Mid,,Bachelor's Degree,"sql, excel",Secondments,Johannesburg,"[All], Permanent",Full Time,2022-07-05
245,,Mid, bcom,Bachelor's Degree,excel,MASA Outsourcing (Pty) Ltd,Johannesburg,Permanent,Full Time,2022-06-28
246,Data Engineer,Mid,"computer science, engineering, information technology",Bachelor's Degree,"sql, java",Communicate Recruitment Cape Town IT,Cape Town,Permanent,Full Time,2022-07-05
248,Marketing Analyst,Mid,,Bachelor's Degree,,MPC Recruitment -Umhlanga,Durban,Permanent,Full Time,2022-07-05
249,,manager,,Bachelor's Degree,,Careerbox,Durban,Permanent,Full Time,2022-07-05
250,Business Analyst,Mid,,Bachelor's Degree,sql,iOCO,Cape Town,Permanent,Full Time,2022-07-05
251,,Mid,"computer science, engineering, information system",Post Graduate,excel,SPECD Pty Ltd,Pretoria,Permanent,Full Time,2022-07-05
252,,Mid,,Post Graduate,,Alec Cameron & Associates Recruitment Solutions,Pretoria,Permanent,Full Time,2022-06-28
253,,Mid,computer science,Bachelor's Degree,"sql, python, java",Recru-IT,Johannesburg,Permanent,Full Time,2022-07-05
254,,senior," bcom, mathematics, statistics",Bachelor's Degree,,EnableSA T/A EnableSA Pty Ltd,Pretoria,Permanent,Full Time,2022-06-28
255,,Mid,engineering,Bachelor's Degree,excel,Pro Development Group,Johannesburg,"[All], Permanent",Full Time,2022-07-05
266,,Mid,,Bachelor's Degree,excel,Extraordinary Futures,Other,Permanent,Full Time,2022-07-09
267,Data Engineer,Mid,"computer science, engineering",Bachelor's Degree,python,Recru-IT,Other,Permanent,Full Time,2022-07-09
281,Data Engineer,senior,"computer science, statistics, engineering, information technology",Bachelor's Degree,"sql, python",Nigel Frank International,Other,Permanent,Full Time,2022-07-06
283,,Mid,,Bachelor's Degree,,Blue Recruiting,Cape Town,Permanent,Full Time,2022-07-09
284,,Mid,,Post Graduate,"sql, java",Psybergate (Pty) Ltd,Johannesburg,Fixed Term,Full Time,2022-07-11
285,Quantitative Analyst,senior,,Bachelor's Degree,,Network Finance,Johannesburg,Permanent,Full Time,2022-07-10
286,,Mid,engineering,Bachelor's Degree,excel,Elev8 Recruitment Services (Pty) LTD,Cape Town,Permanent,Full Time,2022-07-11
287,,Mid, bcom,Post Graduate,excel,Network Finance,Johannesburg,Permanent,Full Time,2022-07-10
288,,Mid,,Bachelor's Degree,,Network Finance,Johannesburg,Permanent,Full Time,2022-07-10
289,,Mid,,Bachelor's Degree,excel,Network Finance,Johannesburg,Permanent,Full Time,2022-07-10
290,,Mid,,Bachelor's Degree,,CHEP South Africa (Pty) Ltd,Cape Town,Permanent,Full Time,2022-07-09
291,,Mid, bcom,Post Graduate,,Network Finance,Johannesburg,Permanent,Full Time,2022-07-10
292,Business Analyst,Mid,,Bachelor's Degree,excel,The Key Recruitment Group,Johannesburg,"[All], Permanent",Full Time,2022-07-12
293,,Mid,,Bachelor's Degree,excel,Network Finance,Johannesburg,Permanent,Full Time,2022-07-12
294,,Mid,,Bachelor's Degree,excel,Robert Walters,Johannesburg,Permanent,Full Time,2022-07-12
295,,Mid,,Bachelor's Degree,,Unique Personnel,Johannesburg,Temporary,Full Time,2022-07-12
296,Business Analyst,senior,,Bachelor's Degree,sql,BridgeOne Technologies,Johannesburg,"Fixed Term, Temp with possibility of going permanent","Full Time, Work from Home",2022-07-09
298,Business Analyst,junior,information system,Bachelor's Degree,,Parvana,Johannesburg,Permanent,Full Time,2022-07-12
299,,Mid,,Bachelor's Degree,,Network Finance,Johannesburg,Permanent,Full Time,2022-07-12
300,Data Engineer,Mid,engineering,Bachelor's Degree,"sql, python",AGA Recruitment Specialists,Cape Town,Permanent,Full Time,2022-07-11
301,,Mid,,Bachelor's Degree,,Woolworths (Pty) Ltd,Cape Town,Permanent,Full Time,2022-07-11
302,Actuarial Analyst,junior,information system,Bachelor's Degree,,Parvana,Johannesburg,Permanent,Full Time,2022-07-12
303,Test Analyst,senior,,Bachelor's Degree,,Intellinexus,Johannesburg,"Permanent, Fixed Term, Temporary","Full Time, Part time",2022-07-11
304,Business Analyst,Mid,,Bachelor's Degree,,E-Merge IT Recruitment,Johannesburg,Temporary,Part time,2022-07-11
305,Business Analyst,junior,,Bachelor's Degree,,Swan iT Recruitment Ltd,Durban,Fixed Term,Full Time,2022-07-11
